study_hours,sleep_hours,proio_test_score,pass_exam
5.993428306022466,8.399355436586003,39.87232587538428,1
4.72347139765763,7.924633682912769,47.83221993926723,1
6.295377076201385,7.059630369920174,38.11370118500058,1
8.046059712816051,6.353063222294426,45.38057705541439,0
4.531693250553328,7.69822331361359,21.595779995693213,0
4.531726086101639,7.39348538542175,53.19940561059408,1
8.158425631014783,7.895193220027732,50.01808213043336,0
6.534869458305818,7.635171801681969,37.74367053397714,1
4.061051228130096,8.049552715319335,59.88868502648607,0
6.085120087171929,6.464764788439432,64.06355206439838,1
4.0731646143750755,8.317394065634325,25.886602034465387,1
4.068540492859486,7.1975996046924,38.55912832150679,0
5.483924543132068,9.075260872625265,38.46286475319053,1
1.1734395106844042,6.310812181910432,35.90145348336703,1
1.5501643349739345,8.73596380316525,62.44212262897623,1
3.8754249415180544,7.197910783462648,47.09260791840795,0
2.9743377593311524,6.348581996385551,46.03227738034084,1
5.628494665190548,6.5161141659456785,19.942064533898698,1
3.1839518489575784,6.67965269180568,59.5312704531384,1
2.175392597329417,7.424165946401916,31.41112407719791,0
7.931297537843108,7.5228354880355,50.89898945399492,0
4.548447399026928,6.426299996061421,54.160654069372875,1
5.1350564093758475,6.975645407739017,70.40987893757976,1
2.1505036275730864,9.142270358611864,30.36769401321332,0
3.9112345509496347,8.727543170100711,4.707317662687622,1
5.2218451794197325,7.4363236696740325,52.75774317130542,1
2.6980128451553944,7.0380034781682,77.0076677226628,1
5.751396036691344,7.120031326718261,68.58419529409156,1
3.79872262016239,7.613517972730417,53.14489122911939,1
4.416612500413446,5.977207434801595,42.62545721551929,1
3.796586775541206,6.742623462576655,62.10683894955966,1
8.704556369017876,5.3314159261224106,35.39680700443297,1
4.973005550524132,7.399223122605279,57.14536654034329,0
2.8845781420881993,7.647195939702741,57.5820523874994,1
6.645089824206378,6.516813537700626,65.90314861248319,1
2.5583127000579555,8.573986763290034,91.39490058366616,1
5.4177271900095105,5.774234336997659,55.88623950768151,1
1.0806597522404489,5.53562511979018,42.36554561438752,0
2.343627902203139,7.224451818559972,49.616385317120084,1
5.393722471738247,8.047098302612154,23.463861426663225,1
6.476933159990821,8.68392769145787,39.579303033664125,0
5.342736562379941,6.54111573713106,43.86076342830344,1
4.768703435223519,8.078680833431296,42.138674030981115,1
4.3977926088214225,6.961491530499293,52.28532308050583,1
2.0429560192651453,6.82737270005918,37.66370101426699,0
3.5603115832105825,7.883659937486672,66.81546000986707,1
4.078722458080425,7.65232287841342,50.00310597377295,0
7.114244452437831,5.42360784301575,49.860495182920786,1
5.687236579136923,8.476540349725896,45.081579252306234,1
1.473919689274532,8.380091354147451,52.32786025788469,0
5.64816793878959,6.374437298490471,62.37647397001452,1
4.229835439167367,7.395803533437409,36.9930467643365,1
3.6461559993880828,7.494030186282739,40.12825266387115,1
6.2233525776817356,7.260673765823907,45.44410956835003,1
7.061999044991902,6.44969484615458,29.811936147901775,0
6.862560238232398,6.328376632061948,37.71113210417754,1
3.3215649535547227,6.974445929008555,42.85668689683011,1
4.381575248297571,8.172729019259364,63.11583771069091,1
5.662526862807128,7.543600154594432,53.938419935028875,1
